Product Name,Price,Review Count,Rating
WOW SKIN SCIENCE Aloe Vera Multipurpose Beauty Gel For ...,179,4.3,109861
Joy Skin Purifying & Deep Detox Activated Charcoal Fac...,260,4.2,31101
Plum Green Tea Night Gel Cream with Glycolic Acid ,465,4.2,87246
Pilgrim 10% Niacinamide Face Serum-Fades Acne Marks,199,4.5,2235
NEUD Anti-Tanning Hair Removal Cream for Men and Women ...,169,3.9,1165
Joy Honey & Almonds Nourishing Skin Cream 500 ml,299,4.4,27793
Renee Sunscreen - SPF 70 PA++++ Pore Minimizing Gel,249,4.2,3196
Parachute Advansed Cocoa Repair Body Lotion for Women &...,182,4.3,15893
NutriGlow Papaya Fruit Facial Kit,240,4.2,13705
L'Oréal Paris Glycolic Bright SPF 17 Day Cream,233,4.2,10826
Kayamaya Moisturizing Body Lotion - Rose - Pack of 2,199,4,23304
Dot & Key 10% Vitamin C + E,374,4.2,7948
BIOTIQUE Papaya Deep Cleanse For Glowing Skin ,302,4.2,113961
The Plant Fix Plix 10% Niacinamide Jamun Face Serum for...,429,4,8532
LOTUS HERBALS Whiteglow 3 In 1 Deep Cleaning Skin White...,470,4.3,151673
Dermi Cool Menthol Regular Prickly Heat Powder,178,4.3,10378
NEUTROGENA Sunscreen - SPF SPF 50+ PA++++ Ultra Sheer D...,448,4.2,4957
